L.p.,crossoverChance,mutationChance,numberOfMixes,nofPointsMax,nofPointsMin,thicknessMax,thicknessMin,divider,size,Benford
33,0.38959411451079384,0.0008819601606500085,362,7,2,3,2,137,28634,-2.7116005180557456
34,0.5875352319968193,0.0009754920253462733,458,3,1,2,1,854,7140,-9.506075598186243
35,0.7819339637347215,0.0007836048214920062,34,13,13,1,1,575,58246,-5.438626813453047
36,0.6512741986184265,0.00042143938063665166,326,20,1,5,2,651,30026,-1.6973339526118394
37,0.8703033540553055,0.00013258449312504803,256,40,17,2,1,1185,62410,-9.96555408370734
38,0.14501097636443847,0.00048552456065074445,271,12,5,1,1,409,71978,-1.501832335238902
39,0.174847983094676,0.0008580329034233485,494,16,13,3,1,387,23378,-9.624504115824601
40,0.5179746315862375,0.0008335400052632931,382,3,1,3,1,404,6482,-6.6865726117531885
41,0.37762223973923736,0.0005942029068132183,240,35,22,2,1,1641,77702,-11.97814788381503
42,0.19027092476235197,0.0007635249746589118,196,13,4,1,1,921,53544,-2.7886869209846163
43,0.6490640615101155,0.00037925786350681735,211,18,1,1,1,957,26972,-3.8133697324376254
44,0.3155171373222657,0.00032436922440264113,31,22,19,3,3,1315,58832,-13.420019027636842
45,0.1582034372158807,0.00013116417247638291,359,2,2,2,2,648,25248,-14.573006117927708
46,0.851739142061507,0.0004754645769035458,485,8,7,2,2,556,17920,-6.384215183472295
47,0.7161182552781277,0.0005872199621033658,219,39,11,3,2,1884,75170,-12.146903004532845
48,0.814581817344678,0.0008657527480848569,80,32,24,1,1,420,18226,-8.953090828409957
49,0.7722362972536463,0.0006457030663297327,21,6,1,3,3,299,29372,-11.394549705298385
50,0.22688789606116835,0.0009120234223727729,440,11,11,2,1,504,9588,-10.645972622129484
51,0.14580324747895157,0.0007548422500749019,330,34,2,1,1,550,4520,-15.476701215990698
52,0.7011236651335454,0.0009877778404632648,104,22,6,3,2,1627,5290,-15.507436572247546
53,0.5578909927952749,0.0006645009892528254,198,9,8,2,2,336,15896,-2.3655994382268006
54,0.8487570961099155,0.0009725998111918793,120,17,11,3,2,212,47610,-1.9376713405452444
55,0.26522421314472433,0.0009144346790071647,401,21,4,2,1,1929,18878,-15.256644016799955
56,0.4024035751625791,0.0008301732346256454,317,4,2,2,2,1126,22960,-2.412301471731324
57,0.8487388176466721,0.0009702864988151555,489,10,3,2,1,425,17466,-14.531702669324789
58,0.5083234925212484,0.0007355045861185875,90,9,5,2,1,716,37350,-2.882435525115727
59,0.773477235316034,0.0002694131459979045,431,4,4,2,2,778,32806,-10.789240555147392
60,0.12064715316184281,0.0005961140756352135,178,3,2,4,4,911,58274,-16.010985739018732
61,0.668005419843203,0.00018525255881713114,373,13,13,1,1,663,52640,-1.8244293622879049
62,0.1397394000016428,0.0003895452563069974,477,19,10,1,1,1067,62618,-8.51419740602692
63,0.4523710308512774,0.0001462895671516811,28,33,25,2,1,215,92070,-6.343130601826569
64,0.8856893098912263,0.00018213716075547788,218,6,3,1,1,872,44746,-4.775633207976848
65,0.8933756826621008,0.00032699409283343077,146,16,3,1,1,348,56354,-1.8834202305110237
66,0.5005229232836536,0.00011757898259442726,364,15,13,5,1,803,7460,-9.755114541895944
67,0.48558296719785654,0.00032097594711824465,80,20,4,2,2,339,67328,-1.9075631235204047
68,0.20158492983415163,0.00020627484495735926,329,17,14,1,1,1118,23612,-4.79399735832287
